,Target
2012,0.0
2013,-28.80000000000041
2014,-28.80000000000041
2015,0.0
2016,0.0
2017,-28.80000000000041
2018,0.0
2019,0.0
2020,-28.80000000000041
2021,-28.799999999998363
2022,0.0
2023,-28.80000000000041
2024,0.0
2025,0.0
2026,-28.80000000000041
2027,0.0
2028,-28.80000000000041
2029,0.0
2030,0.0
2031,0.0
2032,0.0
2033,0.0
2034,0.0
2035,0.0
2036,0.0
2037,0.0
2038,0.0
2039,0.0
2040,0.0
2041,0.0
2042,0.0
2043,0.0
2044,-28.799999999998363
2045,0.0
2046,-28.800000000002456
2047,0.0
2048,0.0
2049,0.0
2050,-28.799999999998363
2051,0.0
2052,0.0
2053,0.0
2054,-28.799999999998363
2055,-28.800000000002456
2056,-28.799999999998363
2057,0.0
2058,0.0
2059,0.0
2060,-28.800000000002456
2061,-28.799999999998363
2062,0.0
2063,0.0
2064,-28.799999999998363
2065,0.0
2066,-28.800000000002456
2067,0.0
2068,0.0
2069,-28.799999999998363
2070,-28.800000000002456
2071,0.0
2072,-28.799999999998363
2073,-28.799999999998363
2074,-28.799999999998363
2075,0.0
2076,-28.799999999998363
2077,0.0
2078,-28.800000000002456
2079,-28.799999999998363
2080,0.0
2081,-57.60000000000082
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,-28.799999999998363
2087,0.0
2088,-28.800000000002456
2089,0.0
2090,0.0
2091,0.0
2092,-28.799999999998363
2093,0.0
2094,-28.800000000002456
2095,-28.799999999998363
2096,0.0
2097,-28.799999999998363
2098,0.0
2099,-28.800000000002456
2100,0.0
2101,-28.799999999998363
2102,0.0
2103,0.0
2104,-28.800000000002456
2105,0.0
2106,0.0
2107,-28.799999999998363
2108,-28.799999999998363
2109,0.0
2110,-28.800000000002456
2111,0.0
2112,-28.799999999998363
2113,-28.800000000002456
2114,0.0
2115,0.0
2116,0.0
2117,0.0
2118,-28.799999999998363
2119,0.0
2120,-28.80000000000041
2121,-28.80000000000041
2122,0.0
2123,-28.799999999998363
2124,0.0
2125,-28.80000000000041
2126,0.0
2127,0.0
2128,-28.80000000000041
2129,0.0
2130,-28.80000000000041
2131,0.0
2132,-28.80000000000041
2133,-28.799999999998363
2134,0.0
2135,0.0
2136,0.0
2137,-28.80000000000041
2138,-28.80000000000041
2139,0.0
2140,0.0
2141,0.0
2142,-28.80000000000041
2143,0.0
2144,-57.59999999999877
2145,0.0
2146,-28.80000000000041
2147,-28.80000000000041
2148,-28.80000000000041
2149,-28.80000000000041
2150,0.0
2151,-28.80000000000041
2152,0.0
2153,-28.80000000000041
2154,0.0
2155,0.0
2156,-28.799999999998363
2157,-28.80000000000041
2158,0.0
2159,0.0
2160,-28.80000000000041
2161,0.0
2162,-28.80000000000041
2163,0.0
2164,-28.80000000000041
2165,-28.799999999998363
2166,-28.80000000000041
2167,-28.80000000000041
2168,-28.80000000000041
2169,0.0
2170,-28.80000000000041
2171,-28.80000000000041
2172,-28.80000000000041
2173,-28.80000000000041
2174,0.0
2175,-28.80000000000041
2176,-28.80000000000041
2177,-28.80000000000041
2178,-28.799999999998363
2179,0.0
2180,-28.80000000000041
2181,0.0
2182,0.0
2183,-28.80000000000041
2184,0.0
2185,-28.80000000000041
2186,-28.80000000000041
2187,0.0
2188,-28.799999999998363
2189,-28.80000000000041
2190,0.0
2191,0.0
2192,-28.80000000000041
2193,-28.80000000000041
2194,-28.80000000000041
2195,-28.80000000000041
2196,0.0
2197,0.0
2198,-28.80000000000041
2199,0.0
2200,-28.799999999998363
2201,0.0
2202,-28.80000000000041
2203,-28.80000000000041
2204,-28.80000000000041
2205,-28.80000000000041
2206,0.0
2207,-28.80000000000041
2208,-28.80000000000041
2209,0.0
2210,0.0
2211,-28.799999999998363
2212,0.0
2213,-28.80000000000041
2214,0.0
2215,0.0
2216,-28.80000000000041
2217,0.0
2218,0.0
2219,-57.60000000000082
2220,0.0
2221,0.0
2222,0.0
2223,0.0
2224,-28.799999999998363
2225,0.0
2226,-28.80000000000041
2227,0.0
2228,-28.80000000000041
2229,-28.80000000000041
2230,0.0
2231,0.0
2232,-28.80000000000041
2233,0.0
2234,0.0
2235,0.0
2236,-28.799999999998363
2237,-28.80000000000041
2238,-28.80000000000041
2239,-28.80000000000041
2240,0.0
2241,-28.80000000000041
2242,-28.80000000000041
2243,0.0
2244,-28.80000000000041
2245,0.0
2246,0.0
2247,-28.799999999998363
2248,0.0
2249,0.0
2250,-28.80000000000041
2251,0.0
2252,-28.80000000000041
2253,0.0
2254,-28.80000000000041
2255,0.0
2256,-28.80000000000041
2257,0.0
2258,-28.799999999998363
2259,0.0
2260,0.0
2261,0.0
2262,-28.80000000000041
2263,-28.80000000000041
2264,0.0
2265,0.0
2266,-28.80000000000041
2267,0.0
2268,-28.80000000000041
2269,-28.799999999998363
2270,0.0
2271,0.0
2272,-28.80000000000041
2273,-28.80000000000041
2274,0.0
2275,0.0
2276,0.0
2277,0.0
2278,-57.60000000000082
2279,0.0
2280,0.0
2281,0.0
2282,-28.799999999998363
2283,0.0
2284,-28.80000000000041
2285,0.0
2286,-28.80000000000041
2287,0.0
2288,-28.80000000000041
2289,0.0
2290,-28.80000000000041
2291,-28.799999999998363
2292,0.0
2293,-14.399999999999181
2294,-28.799999999998363
2295,0.0
2296,-28.80000000000041
2297,-28.80000000000041
2298,0.0
2299,-28.80000000000041
2300,0.0
2301,-28.80000000000041
2302,0.0
2303,-28.799999999998363
2304,0.0
2305,-2.2153846153844894
2306,-4.430769230768979
2307,-6.646153846153468
2308,-8.861538461537958
2309,-11.076923076922448
2310,-13.292307692306936
2311,-15.507692307691425
2312,-17.723076923075915
2313,-19.938461538460405
2314,-22.153846153844896
2315,-24.369230769229382
2316,-26.584615384613873
2317,-28.799999999998363
2318,0.0
2319,0.0
2320,-28.800000000002456
2321,0.0
2322,-28.799999999998363
2323,-28.799999999998363
2324,-28.799999999998363
2325,-28.799999999998363
2326,-28.800000000002456
2327,-28.799999999998363
2328,0.0
2329,-28.800000000002456
2330,-28.799999999998363
2331,0.0
2332,-28.799999999998363
2333,0.0
2334,-28.800000000002456
2335,-14.400000000001228
2336,0.0
2337,0.0
2338,-28.800000000002456
2339,-28.799999999998363
2340,-28.800000000002456
2341,0.0
2342,0.0
2343,0.0
2344,-28.799999999998363
2345,-28.799999999998363
2346,-28.800000000002456
2347,0.0
2348,-28.799999999998363
2349,0.0
